,Movies,Plots
50,Star Wars: Episode III – Revenge of the Sith,"Having survived the chaos, Obi-Wan and Yoda return to Coruscant, where Obi-Wan learns of Anakin's turn to the dark side. Yoda instructs Obi-Wan to confront Vader while he faces Palpatine. Obi-Wan seeks out Padmé to find out Vader's whereabouts and reveals his treachery. Padmé then travels to Mustafar – with Obi-Wan stowing away on her ship – and pleads with Vader to abandon the dark side and leave with her, but he refuses. Seeing Obi-Wan aboard the ship, and thinking that they are conspiring to kill him, Vader uses the Force to strangle Padmé to unconsciousness in a blind rage. Obi-Wan then engages Vader in a lightsaber duel that ends with Obi-Wan severing Vader's legs and left arm, leaving him at the bank of a lava flow where Vader is horribly burned. Obi-Wan retrieves Vader's lightsaber and leaves him for dead."
50,Star Wars: Episode III – Revenge of the Sith,"On Coruscant, Yoda battles Palpatine until their duel reaches a stalemate. Realizing he cannot defeat Palpatine, Yoda flees with Senator Bail Organa and regroups with Obi-Wan and Padmé on the planetoid Polis Massa. There, Padmé gives birth to twins, whom she names Luke and Leia, and dies soon after, having lost her will to live but still believing there is good in Vader. Palpatine retrieves a barely-alive Vader and takes him to Coruscant, where his mutilated body is treated and covered in a black armored suit. When Vader asks if Padmé is safe, Palpatine says that he killed her out of anger, and Vader screams in agony."
50,Star Wars: Episode III – Revenge of the Sith,"Obi-Wan and Yoda plan to conceal the twins from the Sith and go into exile until the time is right to challenge the Empire. As Padmé's funeral takes place on her home world of Naboo, Palpatine and Vader supervise the construction of the Death Star. Bail takes Leia to Alderaan, where he and his wife adopt her, while Obi-Wan delivers Luke to his step-uncle and -aunt, Owen and Beru Lars, on Tatooine before going into exile to watch over the boy."
52,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents working under Irina Spalko kidnap Indiana Jones and his partner George ""Mac"" MicHale. The Soviets infiltrate a secret government warehouse, located in Nevada, labeled ""Hangar 51"", and force Jones to locate a mummified alien corpse from the Roswell UFO incident, which he was forced to work on 10 years earlier. Shortly after retrieving the corpse, Mac reveals he has become a double agent on the KGB’s payroll. Jones unsuccessfully attempts to steal the body, and fights with Spalko's henchman Dovchenko, before escaping to a nearby model town right before an atomic bomb test. He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue, decontaminate, and interrogate him, suspecting him of working for the Soviets. Though eventually freed, Jones is put on an indefinite leave of absence from Marshall College, and dean Charles Stanforth resigns to spare Jones from being fired."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones’ former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with Mutt's mother, Marion, who went after him. Jones tells Mutt of the legend of crystal skulls found in Akator, and Mutt gives Jones a letter from his mother, which contains a riddle from Oxley in an ancient language. Two Soviet agents attempt to capture them, but Jones and Mutt escape and, following the riddle's meaning, reach Peru. At the local psychiatric hospital, carvings on the walls and floor of Oxley's cell lead them to the grave of Francisco de Orellana, a Conquistador who searched for Akator. They find the skull at the grave, and Jones reasons that Oxley had returned it there. While the two are departing the tomb, Mac and the Soviets take them hostage and deliver them to the Soviet camp in the Amazon jungle. There, the pair find an addled Oxley and Marion, who is actually Marion Ravenwood, an old partner of Jones'; she reveals to Jones that Mutt is his son."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Spalko believes the crystal skull belongs to an alien life form that holds great psychic power. Finding more skulls in Akator will grant the Soviet Union the ability to control the world via telepathy. Jones realizes that Oxley is attempting to communicate through automatic writing, and locates a route to Akator. The next day, while en route to the ancient city, Jones and his team fight their way out of the KGB's clutches, with Dovchenko being devoured by a swarm of army ants. Mac informs Jones he is a CIA double agent. After surviving three waterfalls in an amphibious vehicle, Jones and Oxley identify a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent and has been dropping transceivers to allow the surviving Soviets to track them."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Jones's team evades the city's guardians, gains access to the temple, and finds it filled with artifacts from many ancient civilizations. They realize the aliens are ""archaeologists"" studying the different cultures of Earth. They find and enter a chamber containing 13 crystal skeletons, one of which is missing its skull. When Spalko arrives and replaces the skull, the skeletons telepathically offer to give a reward to the group, using Oxley as a translator. She demands to simply know all the knowledge of the aliens; the aliens reanimate and transfer an overwhelming amount of knowledge into her mind, killing her. A portal to their dimension is activated, and Mac and all of the remaining Soviets are drawn in, while Jones and his team escape. As the city crumbles, a flying saucer rises from the ruins and departs for another dimension, and the waters of the Amazon flood the hollow left by its takeoff."
52,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and marries Marion, with Oxley, who has regained his sanity, and Mutt as witnesses."
87,Skyfall,"In Istanbul, MI6 agents James Bond and Eve Moneypenny pursue mercenary Patrice, who has stolen a hard drive containing details of undercover agents. As Bond and Patrice fight atop a moving train, M orders Moneypenny to shoot Patrice, despite not having a clear shot; Moneypenny inadvertently hits Bond, who falls into a river. Bond is presumed dead and Patrice escapes with the hard drive."
87,Skyfall,"Three months later, due to a public inquiry into M's handling of the stolen hard drive, she is pressured to retire by Gareth Mallory, the chairman of the Intelligence and Security Committee of Parliament and a former SAS officer. Although she claims she is still useful, MI6's servers are hacked, and M receives a taunting computer message moments before the MI6 building explodes. Bond, who used his presumed death to retire, learns of the attack and returns to service in London. He fails a series of physical, medical, and psychological examinations, but M approves his return to the field, ordering him to identify Patrice's employer, recover the hard drive, and kill Patrice. He meets Q, MI6's new quartermaster, who gives him a radio beacon and a Walther PPK pistol."
87,Skyfall,"In Shanghai, Bond follows Patrice but is unable to prevent him killing a target. The two fight and Patrice falls to his death before Bond can learn his employer's identity. Moneypenny joins Bond in his investigation on orders from Mallory. Bond finds a casino token Patrice intended to cash in for the assassination, leading him to a casino in Macau. There, Bond is approached by Sévérine, Patrice's accomplice. Recognising her tattoo, he concludes she was a sex slave ""rescued"" by a criminal who now employs her, a man Bond wishes to meet. She warns him he is targeted by her bodyguards, but promises to help if Bond kills her employer. Bond thwarts the attack and joins Sévérine on her yacht, the Chimera. They travel to an abandoned island off the coast of Macau, where the crew captures and delivers them to Sévérine's employer, Raoul Silva. Once an MI6 agent, Silva turned to cyberterrorism and orchestrated the attack on MI6. Silva kills Sévérine, but Bond alerts MI6 reinforcements who capture Silva for rendition to Britain."
87,Skyfall,"At MI6's new underground headquarters, Q attempts to decrypt Silva's laptop, but inadvertently gives it access to the MI6 servers, allowing Silva to escape. Q concludes Silva wanted to be captured as part of a plan to kill M, whom he hates for disavowing and betraying him to the Chinese government in 1997, leaving him to be tortured and disfigured by a suicide attempt by cyanide pill. Silva escapes his cell and Bond chases him through the London Underground and thwarts Silva's attack at a Parliament inquiry where M is present."
87,Skyfall,"Instructing Q and Bill Tanner to leave an electronic trail for Silva to follow, Bond uses his Aston Martin DB5 to take M to Skyfall, his childhood home in the Scottish Highlands. They meet Skyfall's gamekeeper Kincade, and together the trio set up a series of booby traps throughout the house. When Silva's men arrive, Bond, M, and Kincade kill most of them, but M is wounded. Silva arrives by helicopter with more men and heavy weapons, so Bond sends M and Kincade through a priest hole to hide in a nearby chapel, and rigs propane tanks to explode. As the house and the helicopter are destroyed, Bond escapes down the same tunnel."
87,Skyfall,"Silva survives the destruction of the house, following Kincade and M to the chapel. Confronting M, Silva forces his gun into her hand and presses his temple to hers, begging her to kill them both. Bond arrives and kills Silva by throwing a knife into his back. M then succumbs to her wounds and dies in Bond's arms."
87,Skyfall,"Following M's funeral, Moneypenny formally introduces herself to Bond and tells him she is retiring from fieldwork to become secretary for Mallory, the newly appointed M. Bond meets with Mallory, and tells him he is ready to get back to work."
101,Jumanji: Welcome to the Jungle,"In 1996, Brantford, New Hampshire, teenager Alex Vreeke receives Jumanji, which was previously disposed of by Alan Parrish and Sarah Whittle in 1969, from his father who discovered it at the coast. Uninterested, Alex sets it aside, only to find it transformed into a video game cartridge later that night. Opting to play the game, he is suddenly sucked inside upon choosing a character. His disappearance results in his father becoming despondent and their home falling into disrepair."
101,Jumanji: Welcome to the Jungle,"Twenty-one years later in 2017, four Brantford High School students – awkward Spencer Gilpin, athletic Anthony ""Fridge"" Johnson, ditzy Bethany Walker, and rebellious Martha Kaply – are sent by Principal Bentley to clean the school's basement for detention – Bethany for using her phone during a quiz, Martha for insulting the gym teacher, and Spencer and Fridge for the former writing the latter's essay for him. Fridge discovers Alex's discarded video game system, which he and Spencer decide to play and encourage the girls to join them. Upon starting the game, they are sucked into Jumanji, landing in a jungle as their chosen characters – Spencer as muscular explorer and archaeologist Dr. Xander ""Smolder"" Bravestone, Fridge as diminutive zoologist Franklin ""Mouse"" Finbar, Bethany as male cartographer and paleontologist Professor Sheldon ""Shelly"" Oberon, and Martha as martial arts expert Ruby Roundhouse."
101,Jumanji: Welcome to the Jungle,"While coming to terms with their situation, the group find three marks on their arms denoting lives. Spencer theorizes that if they lose all three, they will permanently expire. The group encounter the game's NPC guide Nigel Billingsly, who provides them with the game's narrative and their characters' backstories. The group learn that their goal is to end a curse on Jumanji, brought about by corrupt archaeologist Professor Van Pelt after he stole a magical jewel called the ""Jaguar's Eye"" from its shrine and gained control of all the jungle's animals, casting a terrible curse upon Jumanji. Nigel hands Spencer the jewel, having stolen it from Van Pelt, and before driving off he instructs the group to return it to a statue at the shrine and call out ""Jumanji"" to lift the curse and leave the game."
101,Jumanji: Welcome to the Jungle,"Coping with their avatars, their ""weaknesses"", Van Pelt's men, and Spencer and Fridge's animosity towards each other for the former inadvertently costing the latter his place in their school's football team, the group encounter Alex operating the fifth avatar – pilot Jefferson ""Seaplane"" McDonough – who takes them to a treehouse that Alan Parrish built during his tenure in Jumanji after saving them from Van Pelt's men. Upon realizing his identity, the group is collectively shocked upon learning how long he has been trapped in the game, although Alex thought he'd only been there a few months. Now with a common goal, the group vows to help Alex return home with them."
101,Jumanji: Welcome to the Jungle,"Dealing with further problems while heading for the shrine, the group coordinate to overcome them. They eventually reach the shrine, but Van Pelt corners them. Working together, Fridge, Bethany, and Alex distract him while Spencer and Martha outmaneuver him with the game's mechanics, returning the jewel to the statue. Upon calling out Jumanji, the group destroy Van Pelt and, after sharing a handshake with Nigel, return to the real world."
101,Jumanji: Welcome to the Jungle,"Returning to the school basement, the foursome find Alex is not with them. While walking home, they unexpectedly find the Vreeke home restored and decorated for a Christmas family gathering. The group is greeted by Alex, now an adult, who explains that he managed to miraculously return to 1996, which allowed him to lead a married life with two children. He has a son named Andy and his daughter is named after Bethany as a thank you when she revived him with one of her lives in the game. The four students become friends after their experiences in the game, with Bethany becoming a better person, Spencer and Fridge patching things up, and Spencer starting a relationship with Martha. Later, they destroy the game by dropping a bowling ball they found earlier on it to prevent it from endangering anyone else."
1,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon Surtur, who reveals that his father is no longer on Asgard."
1,Thor: Ragnarok,"After discovering that his brother was pretending to be his father, and with the help of Stephen Strange at the Sanctum Sanctorum in New York City, they locate their father in Norway."
1,Thor: Ragnarok,"She chases the two as they attempt to flee through the Bifrst Bridge, forcing them out into space."
1,Thor: Ragnarok,"A slave trader named Scrapper 142 subdues him with a disk and sells him as a gladiator to the ruler of Sakaar, who has already ingratiated himself."
1,Thor: Ragnarok,"After escaping the palace, he found the Quinjet that brought the Hulk to Sakaar."
1,Thor: Ragnarok,Hela's forces attack Heimdall and the rest of the Asgardians in pursuit of the sword that controls the Bifrst.
1,Thor: Ragnarok,"In a post-credits scene, the overthrown Grandmaster is confronted by his former subjects."
1,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon, who reveals that his father is no longer on Asgard."
1,Thor: Ragnarok,"After finding out that his brother was pretending to be his father, and with the help of Stephen Strange at the Sanctum Sanctorum in New York City, they locate their father in Norway."
1,Thor: Ragnarok,"She chases the two as they attempt to flee through the Bifrst Bridge, forcing them out into space where she kills the Warriors."
1,Thor: Ragnarok,"A slave trader named Scrapper 142 subdues him with a disk and sells him as a gladiator to the ruler of Sakaar, the Grandmaster, who has already ingratiated himself."
1,Thor: Ragnarok,"After escaping the palace, he finds the Quinjet that brought him to Sakaar."
1,Thor: Ragnarok,"Hela's forces attack Heimdall and the rest of the Asgardians in pursuit of the sword that controls the Bifrst, while Banner and 142 fight him."
1,Thor: Ragnarok,"In a post-credits scene, they are confronted by their former subjects."
1,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon, who tells him that his father is no longer on Asgard."
1,Thor: Ragnarok,"After discovering that his brother was pretending to be his father, and with the help of Stephen Strange at the Sanctum Sanctorum in New York City, they were able to locate their father in Norway."
1,Thor: Ragnarok,"She chases the two as they attempt to flee through the Bifrst Bridge, forcing them out into space, where she kills the Warriors."
1,Thor: Ragnarok,"A slave trader named Scrapper 142 subdues him with a disk and sells him as a gladiator to the ruler of Sakaar, the Grandmaster."
1,Thor: Ragnarok,"After escaping the palace, he finds the Quinjet that brought the Hulk to Sakaar."
1,Thor: Ragnarok,"Hela's forces attack Heimdall and the rest of the Asgardians in pursuit of the sword that controls the Bifrst, while Banner and 142 fight them."
1,Thor: Ragnarok,"In a post-credits scene, the overthrown Grandmaster is confronted by his subjects."
1,Thor: Ragnarok,"After the battle of Sokovia, Thor is imprisoned by the fire demon Surtur, who tells him that his father is no longer on Asgard."
1,Thor: Ragnarok,"After discovering that his brother was pretending to be his father, and with the help of Stephen Strange at the Sanctum Sanctorum in New York City, they were able to locate their father."
1,Thor: Ragnarok,"She chases the two as they attempt to flee through the Bifrst Bridge, forcing them out into space and defeating the Warriors."
1,Thor: Ragnarok,A slave trader named Scrapper 142 subdues him with a disk and sells him as a gladiator to the ruler of Sakaar.
1,Thor: Ragnarok,"After escaping the palace, he finds the Quinjet that brought the Hulk to Sakaar, and a recording of the voice of Natasha Romanoff."
1,Thor: Ragnarok,"Hela's forces attack Heimdall and the rest of the Asgardians in pursuit of the sword that controls the Bifrst, while Banner transforms into the Incredibles."
1,Thor: Ragnarok,"In a post-credits scene, the Grandmaster is confronted by his former subjects."
50,Star Wars: Episode III – Revenge of the Sith,The kidnapped Supreme Chancellor Palpatine was saved by Obi-Wan and Anakin.
50,Star Wars: Episode III – Revenge of the Sith,The Jedi Council is suspicious of Palpatine and disapproves of his appointment as Jedi Council representative.
50,Star Wars: Episode III – Revenge of the Sith,"The dark side of the Force is offered to Anakin by Palpatine, who is willing to teach him how to stop Padmé's death."
50,Star Wars: Episode III – Revenge of the Sith,"After surviving the chaos, Obi-Wan and Yoda return to Coruscant, where Obi-Wan learns of Anakin's turn to the dark side."
50,Star Wars: Episode III – Revenge of the Sith,Padmé gives birth to twins on a planetoid.
50,Star Wars: Episode III – Revenge of the Sith,"Padmé's funeral takes place in her home world of Naboo, where Vader and Palpatine supervise the construction of the Death Star."
50,Star Wars: Episode III – Revenge of the Sith,The kidnapped Supreme Chancellor Palpatine was rescued by Obi-Wan and Anakin.
50,Star Wars: Episode III – Revenge of the Sith,The Jedi Council is suspicious of Palpatine and disapproves of his appointment to the Jedi Council.
50,Star Wars: Episode III – Revenge of the Sith,"The dark side of the Force is offered to Anakin by Palpatine, who is willing to teach him how to prevent Padmé's death."
50,Star Wars: Episode III – Revenge of the Sith,Obi-Wan learns of Anakin's turn to the dark side and is told to confront Vader.
50,Star Wars: Episode III – Revenge of the Sith,Padmé gives birth to twins on the planetoid Polis Massa when she realized she couldn't defeat Palpatine.
50,Star Wars: Episode III – Revenge of the Sith,"Padmé's funeral takes place in her home world of Naboo, while Vader and Palpatine supervise the construction of the Death Star."
50,Star Wars: Episode III – Revenge of the Sith,The Supreme Chancellor Palpatine was kidnapped by the Separatist commander General Grievous.
50,Star Wars: Episode III – Revenge of the Sith,"The Jedi Council disapproves of Palpatine's appointment and instructs him to spy on them, diminishing his faith in the Jedi."
50,Star Wars: Episode III – Revenge of the Sith,"The dark side of the Force is offered to Anakin by Palpatine, and he learns the power to stop Padmé's death."
50,Star Wars: Episode III – Revenge of the Sith,"After surviving the chaos, Obi-Wan and Yoda return to Coruscant, where Obi-Wan learns of Anakin's turn to darkness."
50,Star Wars: Episode III – Revenge of the Sith,Padmé gives birth to twins on the planetoid Polis Massa.
50,Star Wars: Episode III – Revenge of the Sith,"Padmé's funeral takes place in her home world of Naboo, where Vader and Palpatine are working on the Death Star."
50,Star Wars: Episode III – Revenge of the Sith,"The Supreme Chancellor Palpatine was kidnapped by the Separatist commander General Grievous, and Obi-Wan and Anakin were able to rescue her."
50,Star Wars: Episode III – Revenge of the Sith,The Jedi Council disapproves of Palpatine's appointment to the Jedi Council and instructs him to spy on them.
50,Star Wars: Episode III – Revenge of the Sith,The dark side of the Force is offered to Anakin by Palpatine and he learns the power to stop Padmé's death.
50,Star Wars: Episode III – Revenge of the Sith,"After surviving the chaos, Obi-Wan and Yoda return to Coruscant, where Obi-Wan learns of the dark side."
50,Star Wars: Episode III – Revenge of the Sith,"Padmé gives birth to twins on the planetoid Polis Massa, when she realized she couldn't defeat Palpatine."
50,Star Wars: Episode III – Revenge of the Sith,"Padmé's funeral takes place in her home world of Naboo, where Vader and Palpatine are building the Death Star."
52,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, the Soviets kidnapped Indiana Jones and his partner, George ""Mac"" MicHale, and forced them to find a mummified alien corpse."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull, but has since been kidnapped by his mother."
52,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world via telepathy if Spalko's crystal skull is found in Akator.
52,Indiana Jones and the Kingdom of the Crystal Skull,The aliens are studying the different cultures of Earth and Jones's team found a chamber filled with 13 crystal skeletons.
52,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and married two people, one of them being Oxley."
52,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, the Soviets kidnapped Indiana Jones and his partner George ""Mac"" MicHale and forced them to find a mummified alien corpse."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped by his mother."
52,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world through telepathy if Spalko's crystal skull is found in Akator.
52,Indiana Jones and the Kingdom of the Crystal Skull,"The aliens are studying the different cultures of Earth, and Jones's team found a chamber filled with 13 crystal skeletons."
52,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and married two other people."
52,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, the Soviets kidnapped Indiana Jones and his partner, George ""Mac"" MicHale, and forced them to locate a mummified alien corpse."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with his mother."
52,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world via telepathy if Spalko is correct that the crystal skull is an alien life form.
52,Indiana Jones and the Kingdom of the Crystal Skull,The aliens are studying the different cultures of Earth and Jones's team found 13 crystal skeletons in the temple.
52,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and married two people."
52,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents kidnapped Indiana Jones and his partner George ""Mac"" MicHale and forced them to find a mummified alien corpse."
52,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Arequipa, but has since been kidnapped by his mother."
52,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world via telepathy if Spalko's crystal skull is found.
52,Indiana Jones and the Kingdom of the Crystal Skull,"The aliens are studying the different cultures of Earth, and Jones's team found 13 crystal skeletons in the temple."
52,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and married two people, one of whom is Oxley."
87,Skyfall,James Bond and Eve Moneypenny were in Istanbul when Bond was hit by a train.
87,Skyfall,The chairman of the Intelligence and Security Committee of Parliament and a former SAS officer pressured her to retire due to the public inquiry into M's handling of the stolen hard drive.
87,Skyfall,Bond is unable to stop Patrice from killing a target.
87,Skyfall,Silva was able to escape because Q inadvertently gave him access to the MI6 server.
87,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond takes M to Skyfall, his childhood home in the Scottish Highlands."
87,Skyfall,"Silva tried to kill M and Kincade, but was killed by Bond."
87,Skyfall,"After M's funeral, Moneypenny introduces herself to Bond and tells him that she is retiring from fieldwork to work for Mallory."
87,Skyfall,James Bond and Eve Moneypenny were in Istanbul when Bond was hit by Moneypenny's gun.
87,Skyfall,The chairman of the Intelligence and Security Committee of Parliament and a former SAS officer pressured her to retire because of the public inquiry into M's handling of the stolen hard drive.
87,Skyfall,Moneypenny joined Bond in his investigation after he was unable to prevent the murder of a target.
87,Skyfall,Silva was able to escape because Q accidentally gave him access to the MI6 server.
87,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond uses his car to take M to Skyfall, his childhood home in the Scottish Highlands."
87,Skyfall,Silva begged M to kill him and Kincade before Bond killed him.
87,Skyfall,"After M's funeral, Moneypenny introduces herself to Bond and tells him she is retiring from fieldwork to become the new secretary for Mallory."
87,Skyfall,James Bond and Eve Moneypenny were in Istanbul when Bond was hit by Moneypenny's bullet.
87,Skyfall,"She was pressured to retire by the chairman of the Intelligence and Security Committee of Parliament, a former SAS officer, due to the public inquiry into M's handling of the stolen hard drive."
87,Skyfall,Moneypenny joined Bond in his investigation after he was unable to stop the murder of a target.
87,Skyfall,"Q inadvertently gave Silva access to the MI6 server, allowing him to escape, as part of a plan to kill M."
87,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond used his car to take M to Skyfall, his childhood home in the Scottish Highlands."
87,Skyfall,"Silva begged M to kill both of them, and Bond killed him."
87,Skyfall,"After M's funeral, Moneypenny introduces herself to Bond and tells him that she is retiring from fieldwork to become the new secretary for Mallory."
87,Skyfall,James Bond and Eve Moneypenny were in Istanbul when Bond was shot by Moneypenny.
87,Skyfall,"She was pressured to retire by the chairman of the Intelligence and Security Committee of Parliament, a former SAS officer, because of the public inquiry into M's handling of the stolen hard drive."
87,Skyfall,Moneypenny joined Bond in his investigation after he was unable to prevent the killing of a target.
87,Skyfall,"Q inadvertently gave Silva access to the MI6 server, allowing him to escape, as part of a plan to kill him."
87,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond took M to Skyfall, his childhood home in the Scottish Highlands."
87,Skyfall,"Silva begged M to kill him and Kincade, and he was killed by Bond."
